"Story","Title","Result","Date","Stability","Duration (s)"
"Account","Accounts - logged out state","SUCCESS","2019-03-22T17:27:07.981+05:30[Asia/Calcutta]","0.0","20.14"
"Account","Accounts - logged in state","SUCCESS","2019-03-22T17:27:29.751+05:30[Asia/Calcutta]","0.0","125.77"
"Account","Accounts - Oracle Account links verify","SUCCESS","2019-03-22T17:29:36.858+05:30[Asia/Calcutta]","0.0","42.47"
"Account","Accounts - Cloud Sign In links verify","SUCCESS","2019-03-22T17:30:20.902+05:30[Asia/Calcutta]","0.0","42.75"
"Contact","Contact","SUCCESS","2019-03-22T17:31:05.203+05:30[Asia/Calcutta]","0.0","17.14"
"Country list","Show regions and its countries","SUCCESS","2019-03-22T17:31:23.848+05:30[Asia/Calcutta]","0.0","33.44"
"Menu","Menu","SUCCESS","2019-03-22T17:31:58.931+05:30[Asia/Calcutta]","0.0","28.23"
"Menu","Hover over menu","SUCCESS","2019-03-22T17:32:28.758+05:30[Asia/Calcutta]","0.0","35.55"
"Menu","Navigate tositepage","SUCCESS","2019-03-22T17:33:06.024+05:30[Asia/Calcutta]","0.0","49.77"
"Searchautosuggest","Suggest search keywords","SUCCESS","2019-03-22T17:33:57.443+05:30[Asia/Calcutta]","0.0","24.73"
"Searchautosuggest","Autosuggest retracts","SUCCESS","2019-03-22T17:34:23.751+05:30[Asia/Calcutta]","0.0","33.68"
"Searchautosuggest","Autosuggest reappears as user types keyword","SUCCESS","2019-03-22T17:34:58.864+05:30[Asia/Calcutta]","0.0","42.26"
"Searchautosuggest","Select from auto suggestedkeywords","SUCCESS","2019-03-22T17:35:42.498+05:30[Asia/Calcutta]","0.0","65.18"
"Site Search","Search - Inactive","SUCCESS","2019-03-22T17:36:49.052+05:30[Asia/Calcutta]","0.0","19.43"
"Site Search","Search - Open","SUCCESS","2019-03-22T17:37:09.917+05:30[Asia/Calcutta]","0.0","35.52"
"Site Search","Search - Active","SUCCESS","2019-03-22T17:37:46.897+05:30[Asia/Calcutta]","0.0","21.46"
"Site Search","Search - Close","SUCCESS","2019-03-22T17:38:09.757+05:30[Asia/Calcutta]","0.0","35.28"
"Site Search","Search with a keyword","SUCCESS","2019-03-22T17:38:46.451+05:30[Asia/Calcutta]","0.0","22.97"
